mode,n_reported,total_mean_ms,total_p95_ms,retrieval_mean_ms,dense_mean_ms,llm_mean_ms
SEQUENTIAL,30,10722.83,16725.10,5832.30,2257.73,3028.77
PARALLEL_OLD,30,12425.83,22273.60,5851.93,2302.13,3995.97
PARALLEL_SYNC,30,10402.77,13230.60,4999.80,1527.13,3553.93
